deck_id,deck_title,category,question_id,question_number,question,correct_answer,answer_source,primary_lecture_id,primary_test,primary_official_number,primary_title,alternate_lecture_id,alternate_test,alternate_official_number,alternate_title,confidence,rationale
womens-health,Final 1,Mock Exams,1,1,What is the fertilizable lifespan of the human sperm?,C,inferred,1,1,2,"Fetus, placenta, membranes and amniotic fluid",,,,,high,This lecture explicitly gives sperm's fertilizable lifespan as 48–72 hours.
womens-health,Final 1,Mock Exams,2,2,Which of the following is the correct sequence of events during implantation?,A,inferred,1,1,2,"Fetus, placenta, membranes and amniotic fluid",,,,,high,"Its implantation table orders hatching, apposition, adhesion, invasion, then decidualization."
womens-health,Final 1,Mock Exams,3,3,What is the primary risk associated with smoking during pregnancy?,A,inferred,3,1,4,Preconceptional counselling and antenatal care,25,2,8,Disorders of fetal growth,high,Antenatal counselling covers smoking cessation; the fetal-growth lecture explicitly teaches that smoking causes IUGR.
womens-health,Final 1,Mock Exams,4,4,What is the primary mechanism by which progesterone affects respiratory function during pregnancy?,B,inferred,3,1,4,Preconceptional counselling and antenatal care,,,,,high,This lecture explicitly links progesterone to the respiratory center and increased ventilation.
womens-health,Final 1,Mock Exams,5,5,Which of the following antiepileptic drugs have the highest risk of congenital anomalies?,A,inferred,15,1,15,Medical Diseases & Pregnancy 2,,,,,high,Its epilepsy section identifies valproate as the most teratogenic antiepileptic.
womens-health,Final 1,Mock Exams,6,6,Which is the most common cause of hyperthyroidism in pregnancy?,C,inferred,15,1,15,Medical Diseases & Pregnancy 2,,,,,high,Its thyroid section explicitly names Graves’ disease as pregnancy's commonest hyperthyroidism cause.
womens-health,Final 1,Mock Exams,7,7,At which gestational age should a pregnant woman with well controlled gestational diabetes be delivered?,A,inferred,15,1,15,Medical Diseases & Pregnancy 2,,,,,high,Its gestational-diabetes section recommends delivery by 40+6 weeks.
womens-health,Final 1,Mock Exams,8,8,When is the dating scan and first trimester screening tests best performed?,B,inferred,5,1,5,Prenatal screening and diagnosis,26,2,9,Role of Ultrasound in obstetric,high,The screening lecture specifies first-trimester ultrasound and combined screening at 11–14 weeks.
womens-health,Final 1,Mock Exams,9,9,Which maternal factor carries a high risk of preeclampsia?,D,inferred,13,1,13,Hypertension in pregnancy,,,,,high,Its risk table classifies previous preeclampsia as a major high-risk factor.
womens-health,Final 1,Mock Exams,10,10,"A 24 year old primigravida at 17 weeks gestation attends for routine antenatal care. On performing a second trimester quadruple screen, alpha fetoprotein (AFP) was significantly elevated, whereas hCG, oestriol and inhibin A levels were within normal limits. An ultrasound scan was ordered for further evaluation. Which of the following is the most likely explanation for elevated AFP?",A,inferred,5,1,5,Prenatal screening and diagnosis,,,,,high,The lecture explicitly associates elevated maternal AFP with open neural-tube defects.
womens-health,Final 1,Mock Exams,11,11,Which of the following is a non-invasive prenatal test (NIPT)?,B,inferred,5,1,5,Prenatal screening and diagnosis,,,,,high,Its NIPT section defines cell-free fetal DNA testing as non-invasive screening.
womens-health,Final 1,Mock Exams,12,12,Which of the following is used to detect structural fetal abnormalities most effectively?,C,inferred,5,1,5,Prenatal screening and diagnosis,26,2,9,Role of Ultrasound in obstetric,high,It identifies the 18–22-week anomaly ultrasound as standard structural assessment.
womens-health,Final 1,Mock Exams,13,13,Which of the following is a common presentation of missed miscarriage?,D,inferred,8,1,8,Bleeding in early pregnancy,,,,,high,Its miscarriage section describes missed miscarriage as commonly asymptomatic and scan-detected.
womens-health,Final 1,Mock Exams,14,14,"A 30-year-old G2P1 woman at 7-week gestation presents with sudden onset of sharp, unilateral lower abdominal pain and light vaginal spotting. Her vital signs are: BP 100/60 mm Hg and heart rate 110 bpm. On examination she has right adnexal tenderness and closed cervical os. Serum b-hCG is 1200 mIU/ml. Transvaginal ultrasound shows no intrauterine gestational sac with a 2 cm right adnexal mass. What is the most appropriate next step?",C,inferred,8,1,8,Bleeding in early pregnancy,,,,,high,Its ectopic algorithm directs urgent laparoscopy for instability or significant pain.
womens-health,Final 1,Mock Exams,15,15,Which of the following is a characteristic of complete molar pregnancy?,B,inferred,8,1,8,Bleeding in early pregnancy,,,,,high,Its molar-pregnancy table gives an empty ovum and duplicated paternal genome.
womens-health,Final 1,Mock Exams,16,16,Which of the following is NOT a characteristic feature of the endometrium in a normal menstrual cycle?,B,inferred,2,1,1,The menstrual cycle & reproductive endocrinology,,,,,high,"The lecture details cyclical endometrial histology, layers, and trilaminar periovulatory appearance."
womens-health,Final 1,Mock Exams,17,17,What is the oestradiol concentration and duration needed to initiate a luteinizing hormone surge?,D,inferred,2,1,1,The menstrual cycle & reproductive endocrinology,,,,,high,It gives the LH-surge threshold as estradiol above 200 pg/mL for about 50 hours.
womens-health,Final 1,Mock Exams,18,18,Which of the following best describes the two-cell theory of ovarian steroidogenesis?,C,inferred,2,1,1,The menstrual cycle & reproductive endocrinology,,,,,high,It explicitly teaches FSH–granulosa and LH–theca actions in two-cell steroidogenesis.
womens-health,Final 1,Mock Exams,19,19,Which of the following is predictive of heavy menstrual bleeding?,D,inferred,12,1,12,Abnormal uterine bleeding,,,,,low,"The AUB lecture is the best topical match, but it does not teach low ferritin as a predictor of heavy menstrual bleeding and says ferritin is not routinely required."
womens-health,Final 1,Mock Exams,20,20,Which of the following symptoms might suggest a hypothalamic or pituitary disorder in a patient with amenorrhea?,B,inferred,6,1,6,Amenorrhea–dysmenorrhea–PMS,,,,,high,"Its amenorrhea framework covers pituitary disease, prolactinoma, galactorrhea, and neurologic symptoms."
womens-health,Final 1,Mock Exams,21,21,Which of the following non-pharmacologic therapies is supported by evidence for treating dysmenorrhea?,A,inferred,6,1,6,Amenorrhea–dysmenorrhea–PMS,,,,,low,"The dysmenorrhea lecture is the correct topical home and defines TENS, but the verified text does not support the specific high-frequency TENS efficacy claim."
womens-health,Final 1,Mock Exams,22,22,"A 15 year old girl presents with primary amenorrhea and well developed breasts, but no pubic or axillary hair. Pelvic ultrasound shows no uterus. What is the most likely diagnosis?",B,inferred,4,1,3,Sexual development & Puberty,37,3,2,Gynecological problems in childhood & adolescence,high,"It explicitly lists CAIS with normal breasts, scant hair, absent uterus, and primary amenorrhea."
womens-health,Final 1,Mock Exams,23,23,What is the correct sequence of pubertal events in girls?,A,inferred,4,1,3,Sexual development & Puberty,,,,,high,"It gives female puberty sequence: thelarche, pubarche, growth spurt, then menarche."
womens-health,Final 1,Mock Exams,24,24,"A 21 year old primigravida at 36 weeks gestation presents to the emergency department complaining of severe headache and blurring of vision. On examination, there is lower limb oedema, BP: 160/110 and urine dipstick +3 for proteins. What is the most appropriate management for this patient?",D,inferred,13,1,13,Hypertension in pregnancy,,,,,high,"Severe preeclampsia requires admission, antihypertensives, magnesium sulfate, and planned delivery."
womens-health,Final 1,Mock Exams,25,25,Which of the following IV medications is used to treat respiratory depression that may accompany magnesium sulphate toxicity?,A,inferred,13,1,13,Hypertension in pregnancy,,,,,high,The lecture names intravenous calcium gluconate as magnesium-toxicity antidote.
womens-health,Final 1,Mock Exams,26,26,"In a patient with severe preeclampsia, what is the main reason for visual symptoms and severe persistent headache?",B,inferred,13,1,13,Hypertension in pregnancy,,,,,high,Its pathophysiology attributes severe neurologic symptoms to endothelial dysfunction and vasospasm.
womens-health,Final 1,Mock Exams,27,27,"A pregnant woman at 34 weeks' gestation develops marked pruritis especially on her palms and soles, with mildly increased liver enzymes and elevated bile acids. Which of the following diagnostic possibilities is consistent with this clinical picture?",B,inferred,16,1,16,Medical Diseases & Pregnancy 3,,,,,high,"Its cholestasis section gives palm-and-sole pruritus, elevated bile acids, and mild transaminitis."
womens-health,Final 1,Mock Exams,28,28,A 32 year old primigravida is admitted in spontaneous labour at 39 weeks gestation. She is a known asthmatic and had repeated admissions with acute exacerbations. The last admission was at 36 weeks where she was commenced on oral prednisolone 7.5 mg/day in view of the poor asthmatic control. Which of the following is the most appropriate intervention to maintain asthma control during labour?,D,inferred,16,1,16,Medical Diseases & Pregnancy 3,,,,,high,Its asthma section specifies hydrocortisone 100 mg every 6–8 hours during labour.
womens-health,Final 1,Mock Exams,29,29,Which of the following statements is INCORRECT regarding acute fatty liver of pregnancy?,C,inferred,16,1,16,Medical Diseases & Pregnancy 3,,,,,high,"Its AFLP section highlights hypoglycemia, DIC, rapid hepatic failure, and high mortality."
womens-health,Final 1,Mock Exams,30,30,What is the most common route of intrauterine infection leading to preterm labour?,B,inferred,17,3,9,Preterm labour and PROM,,,,,high,The preterm-labour/PROM material directly addresses ascending infection and chorioamnionitis.
womens-health,Final 1,Mock Exams,31,31,A 30 year old woman at 32 weeks gestation presents with signs of preterm labour. What is the most appropriate next step to promote fetal lung maturity?,C,inferred,17,3,9,Preterm labour and PROM,,,,,high,It identifies antenatal corticosteroids as the key fetal-lung-maturity intervention before preterm birth.
womens-health,Final 1,Mock Exams,32,32,Which of the following is a calcium channel blocker commonly used as a tocolytic agent?,B,inferred,17,3,9,Preterm labour and PROM,,,,,high,Its tocolysis table identifies nifedipine as a calcium-channel blocker and first-line agent.
womens-health,Final 1,Mock Exams,33,33,Which of the following is the most appropriate mode of delivery in an uncomplicated dichorionic diamniotic twin pregnancy where the first twin is breech at 37 weeks?,C,inferred,10,1,10,Multifetal gestation,,,,,high,It states first-twin breech presentation indicates cesarean delivery.
womens-health,Final 1,Mock Exams,34,34,How frequent should ultrasound be performed in monochorionic diamniotic pregnancies after 16 weeks of gestation?,B,inferred,10,1,10,Multifetal gestation,,,,,high,It specifies MCDA ultrasound surveillance every two weeks from 16 weeks.
womens-health,Final 1,Mock Exams,35,35,Which of the following cardiac conditions poses a significant health risk during pregnancy?,C,inferred,14,1,14,Medical Diseases & Pregnancy 1,,,,,high,Its cardiac section lists prior peripartum cardiomyopathy among high-risk lesions.
womens-health,Final 1,Mock Exams,36,36,"Mrs. (S) is a 32-year-old G3P2 woman who presents at 32 weeks gestation with swelling of the right leg. On examination, the right calf is markedly swollen, tender, and reddish. Her BMI is 31 kg/m2 and BP 110/65 mmHg. Which of the following is the best initial tool to exclude deep venous thrombosis (DVT)?",B,inferred,14,1,14,Medical Diseases & Pregnancy 1,,,,,high,Its VTE section names compression venous Doppler as the initial DVT test.
womens-health,Final 1,Mock Exams,42,42,A 30 year old G3P2 woman presents at 32 weeks with painless bright red vaginal bleeding. The patient is vitally stable and bleeding is moderate in amount. Ultrasound confirms placenta previa. What is the best next step in management?,D,inferred,9,1,9,Antepartum hemorrhage,,,,,high,Its placenta-previa algorithm recommends admission and expectant monitoring for stable preterm bleeding.
womens-health,Final 1,Mock Exams,43,43,"A 30 year old primigravida at 39 weeks gestation presents in labour. On vaginal examination, the cervix is 7 cm dilated, 80% effaced and the fetal head is at -2 station. What does this most likely indicate?",B,inferred,22,2,5,Anatomy of the pelvis & mechanism of normal labor,24,2,7,Management of normal labour,medium,The mechanism lecture defines first-stage latent and active phases by cervical dilation.
womens-health,Final 1,Mock Exams,44,44,"During normal vaginal delivery, after the head of the fetus is delivered, it rotates to realign with the shoulders inside the birth canal. What is this movement named?",D,inferred,22,2,5,Anatomy of the pelvis & mechanism of normal labor,,,,,high,Its cardinal-movements sequence explicitly describes restitution after head delivery.
womens-health,Final 1,Mock Exams,45,45,"According to NICE guidelines on intrapartum care, which of the following is considered appropriate care for a woman in spontaneous labour?",B,inferred,24,2,7,Management of normal labour,,,,,high,The NICE-based lecture permits fluids and light food while rejecting routine shaving and enemas.
womens-health,Final 1,Mock Exams,46,46,Which of the following interventions is most effective in reducing perineal trauma during vaginal delivery?,A,inferred,24,2,7,Management of normal labour,,,,,medium,"The normal-labour lecture covers second-stage perineal care and episiotomy, but not warm compresses or controlled head delivery; it is a topical rather than exact match."
womens-health,Final 1,Mock Exams,47,47,"A 47 year old multiparous woman presents with complaints of severe dysmenorrhea and heavy menstrual bleeding. On bimanual examination, her uterus is found to be uniformly enlarged and tender. Transvaginal ultrasound reveals a heterogeneous globular uterus with small myometrial cysts and the results of endometrial biopsy are normal. What is the most likely diagnosis?",C,inferred,29,2,12,Endometriosis and adenomyosis,,,,,high,"Its adenomyosis section describes a tender enlarged uterus, dysmenorrhea, HMB, and myometrial disease."
womens-health,Final 1,Mock Exams,48,48,Which of the following is the most accepted theory for the pathogenesis of endometriosis?,A,inferred,29,2,12,Endometriosis and adenomyosis,,,,,high,Its etiology map identifies retrograde menstruation and implantation as the classic theory.
womens-health,Final 1,Mock Exams,49,49,Which of the following is the preferred treatment for a woman with minimal to mild endometriosis who is trying to conceive?,A,inferred,29,2,12,Endometriosis and adenomyosis,36,3,1,Subfertility,high,It covers laparoscopic fertility-sparing excision or ablation for endometriosis when conception is desired.
womens-health,Final 1,Mock Exams,50,50,"A 23 year old woman, G1P0, presents at 8 weeks gestation with brownish discharge and mild pelvic discomfort. Transvaginal ultrasound shows a snowstorm pattern in the uterus consistent with complete mole and bilaterally enlarged multicystic ovaries containing clear fluid. What is the most likely type of the patient's ovarian cysts?",D,inferred,28,2,11,Benign diseases of the ovary,,,,,high,It explicitly links bilateral theca-lutein cysts to hCG hyperstimulation from molar pregnancy.
womens-health,Final 1,Mock Exams,51,51,What is the most serious complication that could occur on top of a corpus luteal cyst of the ovary?,C,inferred,28,2,11,Benign diseases of the ovary,,,,,high,It identifies corpus-luteum cyst rupture causing hemoperitoneum and acute abdomen.
womens-health,Final 1,Mock Exams,52,52,A 41 year old woman presents to the gynaecology clinic with abdominal enlargement. She has a 7 cm solid ovarian tumour detected by ultrasound. Investigations performed showed right pleural effusion and a moderate amount of ascites. Which of the following is the most likely diagnosis?,B,inferred,28,2,11,Benign diseases of the ovary,,,,,high,It defines Meigs syndrome as ovarian fibroma with ascites and right hydrothorax.
womens-health,Final 1,Mock Exams,53,53,Which of the following risks is associated with laparoscopic sterilization?,C,inferred,44,3,6,Contraception,,,,,high,Its female-sterilization section states failure carries ectopic-pregnancy risk.
womens-health,Final 1,Mock Exams,54,54,Which of the following methods can be used as emergency contraception?,D,inferred,44,3,6,Contraception,,,,,high,Its emergency-contraception section identifies copper IUD as the most effective method.
womens-health,Final 1,Mock Exams,55,55,Which of the following is an absolute contraindication to combined oral contraceptive use?,B,inferred,44,3,6,Contraception,,,,,high,Its combined-hormonal table marks migraine with aura as contraindicated.
womens-health,Final 1,Mock Exams,56,56,"A 23-year-old female presents with oligomenorrhea and abnormal facial hair growth along with high serum free testosterone level. On ultrasound, the ovaries appear normal. What is the most likely diagnosis?",B,inferred,7,1,7,Polycystic ovary syndrome,,,,,high,Rotterdam diagnosis needs two criteria; normal ovarian ultrasound does not exclude PCOS.
womens-health,Final 1,Mock Exams,57,57,What is the primary reason for irregular menstruation in women with polycystic ovarian syndrome (PCOS)?,A,inferred,7,1,7,Polycystic ovary syndrome,,,,,high,"Its pathophysiology centers on follicular arrest, oligo-anovulation, and resulting irregular cycles."
womens-health,Final 1,Mock Exams,58,58,Which of the following is NOT a feature of polycystic ovarian syndrome (PCOS)?,D,inferred,7,1,7,Polycystic ovary syndrome,,,,,high,"Its hormone profile shows raised LH:FSH and AMH, reduced SHBG, and low progesterone."
womens-health,Final 1,Mock Exams,59,59,What is the recommended first-line pharmacological treatment for premenstrual dysphoric disorder (PMDD)?,C,inferred,6,1,6,Amenorrhea–dysmenorrhea–PMS,27,2,10,Psychosocial problems & women’s health,high,Its PMDD management ladder places low-dose SSRIs among first-line pharmacologic options.
womens-health,Final 1,Mock Exams,60,60,What distinguishes secondary vaginismus from primary vaginismus?,C,inferred,27,2,10,Psychosocial problems & women’s health,,,,,high,It explicitly defines secondary vaginismus as developing after normal sexual function.
